id	sentence_1	sentence_2	similarity
172	ولادة قيصرية كان من المخطط إجراؤها فى منتصف شهر نوفمبر، قبل أسبوعين من الموعد .	خطط الأطباء لتسليمه قبل أسبوعين من الموعد، في 14 تشرين الثاني أوقريبا منه.	3.6
173	"""ينتشر الفيروس عندما يفتح مستخدمو الكمبيوترالمطمئنون الملفات المرفقة في رسائل البريد الإلكتروني التي تحتوي على عناوين مألوفة مثل"" ""شكرا"" ""و"" ""الرد: تفاصيل"""	"ينتشرسوبينج .ف  عندما يفتح  مستخدمو الكمبيوترالمطمئنين الملفات المرفقة في رسائل البريد الإلكتروني ،التي تحتوي على مثل هذه العناوين المألوفة مثل ""شكرا!""،والرد "" تفاصيل أو ""الرد: ذلك الفيلم""."	4.0
174	"""ارتفع مؤشر ستاندرد اند بورز 500<الاوسع نطاقا> 5.51 نقطة أو 0.56 في المئة ليصل إلى 981.73."	ارتفع مؤشر ناسداك المجمع لأسهم التكنولوجيا مؤشر الذي تغلب عليه اسهم التكنولوجيا بنسبة 17.26 نقطة أو 1.06 في المئة ليصل إلى 1،640.06، استنادا إلى أحدث البيانات.	1.0
175	"""الأعضاء المؤسسون ل( سي إي ال إف )هم هيتاشي، ماتسوشيتا، (ان إي سي )، فيليبس، سامسونج، شارب وسوني، وتوشيبا."	مؤسسو المجموعة هم ماتسوشيتا الكتريك ،سوني ،هيتاشي، (ان إي سي)، رويال فيليبس للإلكترونيات، سامسونج، شارب وتوشيبا.	3.4
176	"يقول ديفيد روبيك ،مديرمخاطر الاتصالات في مركز هارفارد لتحليل المخاطر: ""إنها ليست صفرا """	يقول ديفيد روبيك ،مديرمخاطر الاتصالات في مركز هارفارد لتحليل المخاطر:هل هو موجود في الإمدادات الغذائية ؟	1.75
177	"في المقابل ،هي تخبر جون  أحيانا  أنها كانت مستمرة بالنوم مع صديقها السابق،"" ""بوتش"" "" مايكل بيرجن الضخم"" ."	خلال مباراة صارخة في عام 1999، قالت كارولين لجون أنها كانت لا تزال نائمة  مع بيرجن.	3.0
178	"اذا كان تجفيف البرك في ولاية ماريلاند سوف يساعد على إظهار براءة ستيف، فنحن نرحب به."""	من ناحية أخرى، إذا كان هذا سوف يساعد أكثر على إظهاربراءة ستيف، فنحن نرحب به.	3.25
179	رفضت مرة أخرى محكمة الاستئناف في ولاية فلوريدا يوم الثلاثاء ، منع إزالة الأنبوب.	رفضت المحكمة العليا في ولاية فلوريدا مرتين النظر في القضية.	2.75
180	قال أنه يتوقع أيضا الحصول على دعم المشرعين من الدول الزراعية الأخرى.	قال فليتشر أنه يتوقع الحصول على دعم  المشرعين من الدول الزراعية، ومنهم الكثيرفي اللجنة.	3.4
181	ستيف سكويرز، عالم في جامعة كورنيل، وهو الباحث الرئيسي للأدوات العلمية المخصصة  للبعثات.	سكوايرز هو الباحث الرئيسي لحملة أثينا - مجموعة من أدوات العلوم التي استولى عليها كل متجول.	4.2
182	يؤثر الفيروس الجديد على أنظمة الويندوزمن : 2000، اكس بي ، ان تي 4.0 وخدمة 2003.	هناك أربعة إصدارات من أنظمة التشغيل ويندوزالمستهدفة وهي: ويندوز ان تي، ويندوز 2000، ويندوز اكس بي و خدمة ويندوز 2003 .	3.6
183	"""تم القبض على سبعة طلاب ذكور تتراوح أعمارهم بين 20- 21 عاما ،خارج غرف فندق تابع للحرم الجامعي ،في وقت مبكرمن يوم السبت مع مراهقتين تبلغ أعمارهما 16 و 18 عاما."	تم تغريم سبعة طلاب تتراوح أعمارهم بين 20- 21 عاما من قبل الشرطة، لشرب الكحول خارج غرف فندق تابع للحرم الجامعي في وقت مبكر من يوم السبت مع شابتين ، تتراوح أعمارهما بين 16 و 18 عاما.	3.2
184	"""واصلت أسهم شركتي ماكدونالدز وويندي انتعاشهما في الأوقات الأخيرة من يوم الإثنين،بارتفاع  بأكثر من 1 في المئة في سوق نيويورك للأوراق المالية في تداولات بعد الظهر."	واصلت أسهم شركتي ماكدونالدز و ويندي الدوليتين يوم الإثنين سباقا متواضعا في بورصة نيويورك.	3.2
185	يمكن بعد ذلك أن يتم إرسال القضية إلى مجلس الأمن الدولى.	يمكن لمثل هذه الخطوة أن تضع القضية أمام مجلس أمن الأمم المتحدة.	2.8
186	عزم مع بعض المحامين أن يستمروا بالبقاء ،حتى يبدأ النهربالانحسار	هو يعتزم على البقاء طوال اليوم حتى يبلغ النهر ذروته، والتي كان من المتوقع بلوغها في وقت متأخرمن الليلة الماضية.	2.4
187	وفقا لموقعه على شبكة الإنترنت: يستضيف  مخيم القديسة صوفيا المعتكفات الدينية للأطفال خلال أشهر الصيف ، وغيرها من المناسبات على مدار العام.	وفقا لموقعه على شبكة الإنترنت :يقوم  المخيم الصيفي باستقبال المعتكفات الدينية للأطفال ،وغيرها من المناسبات على مدار العام .	3.4
188	ارتفعت أسهم جيمستارإلى الأعلى كما جاء في الأخبار، وأغلقت بارتفاع 2.6 في المئة عند 5.49 دولار في بورصة ناسداك.	ارتفعت أسهم جيمستار محرزة نسبة 2.6 في المئة، بإضافة 14 سنتا لتصل إلى 5.49 دولارعند الغلق .	3.8
189	"""تيتو باربيني ،الوزير الإقليمي للزراعة في توسكانا، إيطاليا، انتقد غياب الثلاثاء في سكرامنتو."	"قال تيتو باربيني ،الوزير الإقليمي للزراعة في توسكانا، إيطاليا: أن الاتحاد الأوروبي أساسا غير موجود."""	3.4
190	الشركات المشتركة مع شركة إنتل لصناعة الرقائق ، تشتمل على شركة سوني ومايكروسوفت وهيوليت باكارد، آلات الأعمال العالمية ، جاتواي ، نوكيا وغيرها.	الشركات المشتركة مع شركة إنتل  لصناعة الرقائق ، تشتمل على شركة سوني وشركة مايكروسوفت، وشركة هيوليت باكارد، شركة آي بي إم، جاتواي وشركة نوكيا .	4.8
191	وقال الجيش أنه قتل 16 متمردا وألقي القبض على تسعة في الحملة حتى الآن، حيث قتل جندي وأصيب ستة آخرون.	قال الجيش أنه قتل 12 متمردا حتى الآن وألقي القبض على تسعة خلال الحملة ، وعن خسارة ستة جنود جرحوا .	3.0
192	"""وفي استعراض للتعاون المشترك، عملت  شركة كروجر التي تمتلك كلا من شركتي رالف، والبرتسون  على تأمين عمالها في صباح اليوم التالي."	شركة كروجر ، التي تمتلك كلا من شركتي رالف والبرتسونس، عقدت صفقة بالاشتراك مع شركة السيفوي ، وعملت على تأمين عمال نقابتهم في اليوم التالي.	3.8
193	"""ازداد عدد السكان من الأصل الإسباني بنسبة  9.8 بالمائة عن التعداد السكاني لشهر أبريل 2000، على الرغم من الظروف الاجتماعية والاقتصادية الأقل تفضيلا عن أعوام 1990."	وفقا لمكتب الإحصاء، ارتفع عدد السكان من الأصل الإسباني بنسبة 9.8 في المئة عن التعداد السكاني لشهر أبريل 2000.	3.333
194	قفزت الأسهم ما يقرب من 7 في المئة في تداولات ما قبل الفتح، حيث ارتفعت من 17.05دولارإلى 18.26 دولار عند الإغلاق يوم الثلاثاء.	قفزت أسهمها من 50.90 دولار، إلى 54.50 دولارفي تداولات ما قبل الفتح ، وذلك عند الإغلاق يوم الأربعاء.	2.5
195	نحن لسنا بحاجة إلى خطة إعفاء من الضرائب عديمة الشأن .	"وبخ هو مجلس الشيوخ بشكل سخيف قائلا :""خطة  الإعفاء من الضرائب هي عديمة الشأن شيئا ما .."""	3.5
196	"""آخر خدعة للساحر هاري بوتر؟"	تبحث عن أحدث سلسلة لهاري بوترلتشتريها ؟	1.9
197	"""أفنتيس، ومقرها في ستراسبورغ، فرنسا، هي واحدة من الشركات الرائدة المنتجة للقاح، وواحدة من عدد قليل من الشركات التي لا تزال تصنعه."	أفنتيس، ومقرها في ستراسبورغ، فرنسا، هي واحدة من عدد قليل من الشركات التي لا تزال تصنع لقاح الانفلونزا.	3.6
198	انخفض مؤشر داو جونز الصناعي( أسهم الشركات الأمريكية الكبرى) 79.43 نقطة أو 0.86 في المئة ليصل إلى 9،117.12 يوم الجمعة.	وكان مؤشر داو جونز الصناعي <أسهم الشركات الأمريكية الكبرى>قد انخفض بنسبة 58.69 نقطة أو 0.64 في المئة ليصل الى 9،137.86.	2.4
199	"""نحن في نهائيات كأس ستانلي، حيث كانت الطريقة التي لعبنا بها في أول مباراتين محرجة قليلا ."	"قال ثوماس ""إن الطريقة التي لعبنا بها في أول مباراتين كانت محرجة قليلا """	3.2
200	وقال بيري بأنه يؤيد جهود مجلس الشيوخ، بما في ذلك الغرامات، لإجبار الديمقراطيين على الرجوع	الغرامات هي جزء من فشل جهود الجمهوريين  في إجبار أو إغراء الديمقراطيين على الرجوع.	2.8
201	قام الفريق بتسمية  جهاز الاستشعارلتحليل الخلوي وإشعاراته ضد المخاطر والعوائد بجهاز الكناري .	جهاز استشعارجديد - يطلق عليه اسم الكناري ل '' تحليل الخلوي وإشعاراته ، ضد العوائد والمخاطر'' – يخطف هذه العملية الطبيعية محدثا اثنين من التغييرات الهامة.	3.6
202	"صرحت ماكي في بيان ""أن السيد براينت بريئ، ويتوقع أن تتم تبرئته نهائيا ."	قالت محاميته، باميلا ماكي،أن برينت يتوقع أن تتم تبرئته نهائيا .	3.8
203	وارتفع مؤشر ستاندرد اند بورز 500 من 15.66 إلى 1،046.79، كأفضل تقدم منذ 1 أكتوبر، عندما ارتفع بنسبة 22.25.	لقد كان أفضل تقدم منذ 1 أكتوبر، عندما ارتفع المؤشر بنسبة 22.25.	3.0
204	تم نقل تشارلز كولين (43 عاما) من سجن مقاطعة سومرست في سومرفيل إلى مركز الطب الشرعي آن كلاين، إلى السرير رقم 150 في منشأة لمعالجة الأمراض النفسية في ترينتون.	قال السيد ماسك أنه من الممكن أن يتم أخذ  السيد كولين من سجن مقاطعة سومرست قبل يوم الخميس ونقله إلى مستشفى آن كلاين الشرعي للرعاية النفسية خارج ترينتون .	3.692
205	تم تصميم ستاردست لجمع الآلاف من جزيئات الغبار المتدفقة من وايلد 2.	يعتقد العلماء أن ستاردست تحصر بداخلها الآلاف من جزيئات الغبار.	3.0
206	"قالت الشركة ""أن سبيس شيب ون اخترق حاجز الصوت بعد تسع ثوان ."	كسر حاجز الصوت بعد تسع ثوان، واستمر بالصعود الشديد الدعوم.	3.0
207	تم إطلاق التقريرالذي طال انتظاره حول كيفية تعامل حكومة هونج كونج مع تفشي متلازمة السارس.	يهدف التقرير الذي أعدته لجنة  الخبراء المستقلة ، إلى تبديد أي شك  حول كيفية تعامل حكومة هونغ كونغ مع متلازمة السارس.	2.75
208	رحلة الطيران رقم5481،  على متن الخطوط الجوية الأمريكية التي تحطمت في8 يناير،تم الحكم عليها في  أن يكون وزنها كحد أقصى عند الإقلاع في حدود 100 باوند .	قدر وزن  الطائرة حوالي 100 باوند كحد الأقصى للوزن عند إقلاعها.	3.25
209	"قال بلومبرغ ""سأحاول القيام بمسيرة مع عدد من المجموعات المختلفة."	"مايكل بلومبيرغ، عمدة مدينة نيويورك: "" سأحاول السير مع عدد من المجموعات المختلفة."	3.75
210	يبدوأن الهجوم مماثل للهجمات التي شنت بالقرب من المجمعات السكنية الأجنبية في الرياض يوم 12 مايو، حيث ألقى فيها المسؤولون اللوم على تنظيم القاعدة.	يبدو أن الهجوم شبيه  لغيره من الهجمات التي تم تنظيمها بالقرب من المجمعات السكنية الأجنبية في الرياض يوم 12 مايو.	3.6
211	انخفضت الأسهم في البرامج النصية  ESRX.O حوالي 4 في المئة لتصل إلى 66.73 دولارا في بورصة ناسداك في التداولات المتأخرة من هذا الصباح.	تراجعت البرامج النصية الصريحة الخاصة بالأسهم ESRX.o بنسبة 3.6 في المئة ، لتغلق عند 66.89 دولارا في بورصة ناسداك.	3.0
212	كان ذلك أكبر انخفاض منذ شهر أغسطس  من عام1993، حيث ينبع من انخفاض أسعاركل من السيارات والشاحنات ،ملابس الرجال والأولاد ،والسجائر.	انخفاض أسعار الجملة الأساسي في أبريل يعكس انخفاض أسعاركل من  السيارات والشاحنات ،ملابس الأولاد والرجال، والسجائر	3.5
213	"قال الرابح :كان عمل أفراد الأمن "" جيدا وضمن المعايير "" حيث كان اثنين من مساعدي الموظفين "" جدا آسفون على كل ما حدث ."	"قال الرابح أن اثنين من مساعدي الموظفين ""يأسفون جدا على كل ماحدث ""حيث قام  أفراد الأمن بأداء ""جيد و ضمن المعايير."""	5.0
214	"""لقد وضعنا الكثير من الجهد والطاقة في تحسين عملية  الترقيع لدينا، وربما في وقت لاحق ينبغي علينا ."	لقد وضعنا الكثير من الجهد والطاقة في تحسين عملية الترقيع لدينا، وربما في وقت لاحق يجب علينا ،أما الآن نحن فقط نكسب سرعة خيالية.	3.75
215	"""بحث عمال الإنقاذ الدولي بشكل كثيف بالأمس ،عن ناجين بين الأنقاض، وفي المقابرالتي فاضت بالماء ، في مدينة بام الواقعة على طريق الحرير القديم في إيران"	يبحث  عمال الإنقاذ الدولي بين الأنقاض، عن ناجين في مدينة بام الواقعة على  طريق الحريرالقديمة في إيران، والتي دمرت جراء زلزال قوي قتل فيه أكثر من 20،000 شخص	3.0
216	غريفيث (77 عاما)والذي  نشأ على جبل نقي الهواء، يعيش الآن في مانتيو.	غريفيث، وهو من مواطني جبل نقي الهواء، يعيش الآن على ساحل ولاية كارولينا الشمالية في مانتيو.	4.0
217	"قالت روزا ""ستحصل الأكاديمية في الأسبوع المقبل على تقريرها الداخلي الخاص بها ،حيث سيكون عاما ."	قال كذلك أن الاكاديمية ستحصل على تقريرها  الداخلي الخاص بها في الأسبوع المقبل ،مفصلا فيه عن خطورة المشكلة المتبقية.	3.333
218	قال الرئيس : أن الصبي فر مرة واحدة نحو الجدار، ورش الغرفة باستخدام طفايات الحريق، مما جعل الرؤية صعبة	قال الرئيس : أن الصبي قام  أيضا برش غرفة مليئة بالمثبطات من طفايات الحريق، الأمر الذي جعل الرؤية صعبة .	3.333
219	"قال مجلس المؤتمر ""أن  مؤشر ثقة المستهلك استقر عند83.5  في شهر يونيو، بانخفاض طفيف عن الميزانية المعدلة لشهر مايو وهي 83.6 ."	جاء في تقرير مجلس المؤتمر أن مؤشر ثقة المستهلك الأمريكي تراجع  من 83.6 في شهر مايو إلى 83.5 في شهر يونيو.	4.667
220	"قال أحد السياسيين العراقيين بعد اجتماعه مع السيد بريمر: ""لقد لاحظت تغيرا في المزاج العام في ما يخص أولوياتهم """	"قال أحد السياسيين :"" لقد لاحظت تغيرا في المزاج العام في ما يخص أولوياتهم """	3.333
221	"قال منسون :"" الرسالة الواضحة هنا هو أنه لا يجب أن تستخدم لمنع أمراض القلب والشرايين""."	"""بينما (اتش ار تي )لا ينبغي أن تستخدم لمنع أمراض القلب أو أي مرض مزمن آخر """	2.6
222	"""فقدت عارضة الأزياء السابقة السيدة مكارتني ساقها في حادث سير في عام 1993، ومن الطبيعي أن يكون قد تم تركيب ألواح فولاذية في وركها ، والتي من شأنها أن تجعل الولادة الطبيعية أمرا صعبة."	هيذر (35 عاما) ،والتي فقدت ساقها في حادث سير، من الممكن  أن يتم تركيب ألواح فولاذية في وركها، والتي من شأنها أن تؤدي إلى استحالة عملية الولادة الطبيعية .	2.4
223	يتم تخزين كل من اللحوم ،الدواجن، الزبدة، الأجبان والمكسرات ،من قبل أكثر من 100 تاجر للجملة في شيكاغو.	تمت مصادرة كل من اللحوم ،الدواجن، الزبدة،الأجبان والمكسرات قبل عام، في مستودع مخزن لاجرو كولد في شيكاغو.	1.8
224	يقول نائب الرئيس ديك تشيني :أن استلام  ميسيسيبي الجمهوري لمنصب الحاكم في هالي بربور يمكن أن يكون جيدا ، بسبب ذكائه في إدارة الحكومة والأعمال الأخرى.	نائب الرئيس ديك تشيني وميسيسيبي الجمهوري المرشحان لمنصب الحاكم العام في هالي بربور، اعترفوا بأن الجموع مبتهجة .	2.4
225	أصيبت إميل لاروزا ، 51 عاما ، بفيروس بالسارس ،بينما كانت تعمل كممرضة في المستشفى العام نورث يورك، أحدث مركز لتفشي فيروس السارس من النوع الثاني.	عملت الممرضة التي تبلغ من العمر 51 عاما في المستشفى العام ، نورث يورك، أحدث مركز لتفشي المرض .	3.0
226	"""سمح لريدمان بشوطين فاز بهما أو أقل ،خلال ستة من تسعة أشواط له ."	وقد سمح لروش أيضا بخمسة أشواط فاز بها أو أكثر عند بداية  كل من الأشواط الثلاثة الأخيرة	2.0
227	تركت المبيعات للسيد تيرنر حوالي 45 مليون سهم في شركة أمريكا أون لاين.	حول السيد تيرنر حوالي 10 مليون سهم إلى صندوق خيري قبل أن يتم بيعها.	1.6
228	قام أيضا بتوظيف أشخاص آخرين لاستلام بضائع تم الحصول عليها عن طريق الاحتيال ، كانت مخصصة له	قام بتوظيف أشخاص آخرين أيضا للمشاركة في هذا المشروع ، وذلك عن طريق إقناعهم باستلام بضائع تم الحصول عليها عن طريق الاحتيال، وكانت مخصصة له.	4.0
229	"""بلغ إجمالي الشحنات 19.5 مليون وحدة في العام الماضي، مقارنة مع 8.9 مليون وحدة في عام 2001."	جاء في تقرير مؤسسة جارتنر أن شحنات المعدات لشركة (دبليو ال آ اى )العالمية حققت مبلغ  19.5 مليونا في العام الماضي، أي بزيادة قدرها 120 في المئة عن أعوام 2001،في 8.9 مليون وحدة.	3.6
230	اختفت صباح يوم السبت شيفون بنينجتون ، بعد الترتيب للقاء مع توبي البالغ من العمر 31 عاما.	بدأت الشرطة يوم السبت مطاردة دولية لشيفون بنينجتون ، بعد أن هربت مع توبي البالغ من العمر 31 عاما.	3.0
231	ضم فريق ميتس اللاعب لا ستينج ميلدج، وهو لاعب دفاع من ولاية فلوريدا، بموافقة ال 12 لاعب.	قام فريق ميتس في نيويورك باختيار لاعب الدفاع لاستينج ميلدج من مدرسة لاكوود رانش الثانوية في ولاية فلوريدا.	3.8
232	في أعقاب حادث كولومبيا والذي خلف ثلاث مكوكات متبقية ، يجب على المجندين الجدد الانتظار لفترة أطول.	الآن، مع آخر ثلاث مكوكات تابعة للوكالة ،والمتجمعة  عقب كارثة كولومبيا، يمكن أن يكون هذا الانتظار لفترة أطول.	4.4
233	بريمر (61 عاما) هو مساعد سابق لوزراء سابقين للدولة مثل وليام روجرز وهنري كيسنجر.	بريمر (61 عاما) عمل كمساعد لمرة واحدة ،لوزراء سابقين للدولة مثل وليام روجرز وهنري كيسنجر، كما كان سفيرا على مستوى عال لمكافحة الإرهاب من العام  1986إلى عام 1989.	3.0
234	"""مور، رئيس القضاة الموقوف في المحكمة العليا لولاية ألاباما، يمثل للمحاكمة أمام السلطة القضائية لمحكمة ألاباما ."	روي مور، رئيس القضاة في المحكمة العليا الموقوف في ولاية ألاباما، مثل يوم الأربعاء كمتهم ، في نفس قاعة المحكمة التي كان يترأسها مؤخرا ، ولكنه غير نادم .	3.8
235	حافظ متوسط مؤشر داو جونزالصناعي ( أسهم الشركات الأمريكية الكبرى) على 97 نقطة، أو 1.14 في المئة ليصل إلى  8.699.	قفزمتوسط مؤشر داو جونز الصناعي (أسهم الشركات الأمريكية الكبرى )مقدار 164 نقطة أو 1.91 في المئة، ليصل إلى  8،765.38، محققا أعلى مستوياته منذ منتصف شهركانون الثاني.	3.0
236	وفقا لما جاء في مذكرة الاعتقال،فقد قام براينت (24 عاما) بالاعتداء على امرأة في 30 يونيو.	اتهم براينت في مذكرة اعتقال ،في 30 يونيو ،بالاعتداء على امرأة في أحد الفنادق .	4.25
237	استنادا إلى66 في المئة من الذين شملهم الاستطلاع ، فقد كان وضع كيري إيجابيا ، حيث حصل على  نسبة 57 في المئة كرتبة عميد .	لم يتم الاعتراف بسيناتور فلوريدا ، بوب جراهام ،استنادا إلى 61 في المئة ممن شملهم الاستطلاع.	1.273
238	انخفض مؤشر ناسداك كومبوزت لأسهم التكنولوجيا الفائقة لادن بمقدار 8 نقاط، أو 0.45 في المئة ، ليصل إلى 1645.	ارتفع مؤشر  ستاندرد اند بورز500 الأوسع نطاقا ،بمقدار 3.47 نقطة أو 0.36 في المئة ليصل إلى 977.59.	1.0
239	حطم أربعة وعشرون لاعبا الرقم القياسي في الجولة الأولى، وهو أعلى ثالث رقم في تاريخ بطولة الولايات المتحدة المفتوحة .	كانت النتيجة أنه حطم 24 لاعبا الرقم القياسي في الجولة الأولى.	3.0
240	وفقا لمتحدثة باسم شركة أوراكل : لم يتم طرح تلك المحادثات .	وفقا لمتحدثة باسم شركة أوراكل: لم يتم طرح تلك المحادثات اعتبارا من ليلة الثلاثاء	4.0
241	يقول المحامون وغيرهم ممن هم على دراية بالتحقيق أن التركيزلا يزال على كامبل ، في حين يرفض المدعون الفيدراليون مناقشة التحقيق .	يقول المحامون وغيرهم ممن هم على دراية بالتحقيق الفيدرالي: يبقى التركيز على كامبل، على الرغم من أن النيابة العامة رفضت مناقشة التحقيق.	4.8
242	قال متحدث باسم نجم هوليود ،روبرت دي نيرو اليوم ،أنه تم تشخيصه حالته بوجود سرطان البروستاتا.	احتشد أصدقاء روبرت دي نيرو بالأمس حوله، بعد أن تم تشخيص حالته بأنه مصاب بسرطان البروستاتا.	3.5
243	أوقفت سلسلة رالف كروجروسلسة البرتسونس على الفور عمال البقالة التابعين لها إظهارا للتضامن.	أوقفتسل سلتا كل من البرتسونس و رالف كروجر عمالها ، كرد على ذلك.	4.0
244	سعت على مدار سبع سنوات للحصول على منصب مراقب ، ولكن طلبها قبل بالرفض مرة أخرى ، في 19 مايو ،في مؤتمر منظمة الصحة العالمية السنوي في جنيف.	حاولت تايوان على مدار سبع سنوات الحصول على منصب مراقب للأمم المتحدة التابعة لمنظمة الصحة العالمية ، ولكن تم الرفض مرة أخرى في مؤتمرها السنوي في جنيف في تاريخ 19 مارس .	3.25
245	هبط مؤشر ناسداك كومبوزت بمقدار 2.95، أو 0.2 في المئة، خلال الأسبوع ليصل إلى  1،912.36 بعد عثرة بمقدار 37.78 يوم أمس.	انخفض مؤشر ناسداك كومبوزت لأسهم التكنولوجيا المعبأة <أسهم التكنولوجيا>بمقدار 37.78 نقطة أو 1.94 في المئة لتصل إلى 1،912.36.	2.0
246	أغلقت أسهم ( آي بي إم )على نسبة 1.75 دولار، أو 2.11 في المئة ، لتصل إلى 84.50 دولار في سوق نيويورك للأوراق المالية.	أغلقت أسهم المنظمة على نسبة 10.93 دولار، بانخفاض 28 سنتا ،في تداولات الإثنين في بورصة ناسداك.	1.0
247	تم تأكيد وجود الحالة الأولى والوحيدة من البشر لفيروس غرب النيل هذا العام ،من  قبل مسؤولي الصحة في 8 سبتمبر .	صرحت وزارة الصحة يوم الجمعة ،أن رجلا من مقاطعة واشنطن ، يمكن أن يكون  أول حالة بشرية  في البلاد  لفيروس غرب النيل.	3.0
248	قال كريستين إيوان ،الرئيس التنفيذي للمركز الوطني لسرطان الثدي :ليس هناك داع للذعر .	قال كريستين إيوان ،الرئيس التنفيذي للمركز الوطني لسرطان الثدي :أنه من السابق لأوانه تقدير حجم المخاطر التي تتعرض لها النساء.	2.6
249	تقاعد الرئيس التنفيذي للشركة  ، بينما استقال المدير المالي.	استقال كل من برندسيل والمدير المالي فون كلارك في9 يونيو.	2.6
250	جدد الديمقراطيون الجدد أيضا التزامهم بعدم وجود خصخصة  أو أي اقساط بشأن الرعاية الصحية .	يقول الحزب الوطني أنه لن يكون هناك خصخصة ولا أقساط بشأن الرعاية الصحية .	4.6
251	"""ومع ذلك، نحن لسنا متأكدين حتى اللآن من نتائج المناقشات """	"لكن (ج. ت) كان حريصا على توضيح أنه ""لا يوجد أي شيء مؤكد حتى الآن حول نتائج المناقشة ."""	3.2
252	انخفض متوسط مؤشر داو جونز( الرقاقة الزرقاء )لأسهم الشركات الأمريكية الكبرى، 86.56 نقطة أو 0.94 في المئة ليصل إلى 9،109.99، بعد التخلي في وقت سابق عن أكثر من 1 في المئة.	سجل مؤشر داو جونز الصناعي لأسهم الشركات الأمريكية الكبرى،  58.69 نقطة عند الخروج، أو 0.64 في المئة ليصل إلى 9،137.86.	2.5
253	"""مشروع القانون هو من بين أول 13 بندا ،الذي يجب على الكونجرس أن يمرره كل عام لتمويل الحكومة الاتحادية."	صوت 425 عضومن مجلس النواب على اثنين  لإلغاء مشروع القانون، وهو الأول من 13 بندا ،والذي يجب على المؤتمر أن يمرره كل عام لتمويل الحكومة الاتحادية.	3.0
254	"""ذكرت (إسبن ) أن  الصفقة التي عقدها نايت لمدة عامين تبلغ قيمتها 2.380.000 دولار، بما في ذلك توقيع منحة بقيمة 300،000 دولار."	وافق نايت على عقد بقيمة 2.380.000 دولار لمدة عامين ،حيث اشتمل على توقيع منحة بقيمة 300،000 دولار .	4.75
255	يتم استخدام هذه التقنية خلال الثلث الثاني ،وأحيانا الثلث الثالث من الحمل.	يتم تنفيذ العملية عادة في الثلث الثاني أو الثالث	4.5
256	ستبدأ أسهم شركة (بالم سورس) التداول في سوق الأوراق المالية في بورصة ناسداك ، كجزء من الصفقة ،في الأربعاء تحت الرمز: (بي سي ار سي ).	ستبدأ شركات جديدة بالتداول في بورصة ناسداك اليوم تحت رموز مؤشرات الأسهم (بي ال ام أو ) و (بي اس ار سي ).	2.75
257	"""إن الصناديق مليئة بالنسخ ذات الغلاف المقوى من"" ""هاري بوتر وجماعة العنقاء""."	"يستعد كل من الأطفال ،البالغين، بائعي المكتبات وعمال البريد ل ""هاري بوتر وجماعة العنقاء""."	2.2
258	المنحة أيضا  تمول اختبار ماء الشاطئ في مقاطعة كينغ جورج، ونورفولك وفيرجينيا بيتش.	إلى جانب هامبتون ونيوبورت نيوز ،فإن أموال المنحة المخصصة لاختبار الماء توجد في يورك تاون، مقاطعة الملك جورج وشواطئ نورفولك وفيرجينيا .	3.0
259	انخفض سهم شركة هاليبرتون 54 سنتا، أو 2.4 في المئة، ليصل إلى 21.76 دولار للسهم في التداولات النصفية في بورصة نيويورك.	هبط سهم شركة هاليبرتون 71 سنتا ،أو 3 في المئة، ليغلق عند 21.59 دولار ،في بورصة نيويورك للأوراق المالية بالأمس .	2.4
260	قال :أن المهاجمين تركوا منشورات تدعو الموظفين في فندق عشتار شيراتون للتوقف عن العمل .	قال: أن المهاجمين تركوا منشورات تدعو الموظفين في فندق عشتار شيراتون للتوقف عن العمل ،كما تطالب القوات الأميركية بمغادرة العراق.	3.0
261	"""مع احتدام الدبلوماسية في الأزمة المستمرة منذ 10 أشهر تقريبا، يقوم  وزير الخارجية الصينى، لي تشاو شينغ ، برحلة إلى اليابان يوم الأحد ، سيمر خلالها إلى كوريا الجنوبية في 13 أغسطس ."	مع احتدام الدبلوماسية في الأزمة النووية المستمرة منذ 10 أشهر تقريبا، من المقررأن يقوم وزير الخارجية الصينى، لى تشاو شينغ ،بزيارة كوريا الجنوبية في الفترة من 13 إلى 15 أغسطس.	3.0
262	لكن ،لا هو ولا قواعد السلام يمكنها أن تبقي الإبادة المضحكة بعيدا من السحب.	انتصرت قواعد السلام على الإبادة المضحكة في ولاية لويزيانا ديربي.	2.25
263	"""قال مجلس الاحتياط الاتحادي أيضا أن المخاطر التي يتعرض لها الاقتصاد تسير نحو الضعف."	يتمنى بوند بولز على بنك الاحتياطي الفيدرالي أن يدرك أن المخاطرتكمن في الضعف الاقتصادي.	2.588
264	"قال '' مكجريوى "": لم تكن  المنطقة المتضررة من المرآب بحالة مستقرة، مع احتمال حقيقي لانهيار الثانوية."	"قال حاكم الولاية جيمس مكجريفي : ""هناك إمكانية حقيقية لانهيار الثانوية""."	3.6
265	"""مع 97 في المئة من إحصائيات الدوائر الانتخابية هذه الليلة، عارض 68 في المئة من الناخبين قانون الضرائب ."	"ضمن 97 بالمئة من الأصوات ، 68 في المئة من الناخبين صوتوا ب ""لا"" للضريبة ، في منتصف ليلة الأربعاء ."	4.667
