id	sentence_1	sentence_2	similarity	entailment
661	Segundo o delator, o pagamento foi feito a pedido do ex-diretor da Petrobras Renato Duque.	O repasse do dinheiro teria sido um pedido do ex-diretor da Petrobras Renato Duque.	4.0	Entailment
662	O técnico Jorginho disse que o importante é somar pontos, até mesmo com empate.	Por fim, Jorginho lamentou os pontos perdidos em Florianópolis.	2.5	None
663	O serviço do Uber não pode ser prestado antes de ser regulamentado.	Muitos taxistas estão reagindo com violência contra motoristas que prestam serviço com o Uber.	2.25	None
664	Tite terá que improvisar mais uma vez na lateral esquerda do Corinthians.	A lateral esquerda é o único problema de Tite para o jogo de domingo contra o Figueirense.	3.5	None
665	A quadra só começou a encher por volta de 0h.	A apresentação das parcerias finalistas começou por volta de 2h30.	1.0	None
666	A Microsoft apresentou na terça-feira (22/09) seu Office 2016.	A Microsoft lança nesta terça-feira (22/09) o pacote Office 2016.	5.0	Paraphrase
667	Leandrão entrou na área, pela esquerda, e o meia Marquinhos roubou a bola de carrinho.	O atacante cortou para o meio e Marquinhos deu o carrinho.	2.75	None
668	O Office 2016 começou a ser vendido na loja online da Microsoft.	A Microsoft lançou nesta semana o pacote Office 2016.	3.5	None
669	A eleição para substituir Blatter deve acontecer entre dezembro deste ano e março de 2015.	A eleição para presidente deve acontecer entre dezembro e fevereiro também em Zurique.	3.75	None
670	Para preservar o sistema, o operador pediu à CEB que reduzisse a carga retirada dessas redes.	O operador comunicou a CEB da necessidade de reduzir as cargas.	4.0	Entailment
671	Uma das participantes de “A Fazenda 8” mais populares e até polêmicas é a Mara Maravilha.	Mara Maravilha chegou mesmo para causar na oitava temporada de ‘A Fazenda’.	3.0	None
672	A imprensa divulgou que o Bradesco, Itaú e Santander estão interessados em comprar o HSBC local.	Os principais interessados na operação brasileira seriam Bradesco e Itaú.	3.5	None
673	Os focos de incêndio que ainda existem no terreno não têm risco de se alastrar.	Imagens de helicóptero mostraram diversos focos de incêndio, que se alastra pelo terreno.	3.0	None
674	Mas o WatchOS 2 foi adiado e ainda não tem data de lançamento.	A Apple encontrou um bug na nova versão do sistema operacional WatchOS 2 e decidiu adiar o lançamento.	4.0	None
675	O governo espera gastar R$ 1,210 trilhão em 2016, R$ 104,8 bilhões a mais do que este ano.	As despesas com pessoal subiram R$ 21,7 bilhões e passaram para R$ 252,6 bilhões.	2.0	None
676	A final entre Mick Fanning e Adriano de Souza pegou fogo.	A diferença entre Adriano e Mick é de apenas 250 pontos.	2.25	None
677	Segundo informações da polícia, o flagrante ocorreu na Rua D. Gerônimo Tomé, no interior do Central Bar.	O bar fica localizado na Rua Dom Gerônimo Tomé, no centro da cidade.	3.5	None
678	Seria muito difícil o país fazer superávit primário.	Nessa equação, não há como trabalhar com superávit primário.	3.0	None
679	Há quatro semanas, a expectativa era de queda de 1,01% no PIB deste ano.	Estimativa para queda do PIB do Brasil também cresceu e está em 1,18%.	3.25	None
680	Faerman é acusado de intermediar o pagamento de propinas da empresa holandesa SBM Offshore a funcionários da Petrobras.	Faerman admitiu pagar propina para funcionários da Petrobras.	3.5	None
681	Jennifer contou para Justin em um jantar e fez surpresa.	Jennifer e Justin se casaram há cerca de um mês.	2.0	None
682	No entanto, Lula não é formalmente investigado, como ressalta o procurador-geral da República, Rodrigo Janot.	O procurador-geral da República, Rodrigo Janot, também foi a favor do depoimento do ex-presidente Lula.	2.25	None
683	Natural de Itaqui, Dilan Camargo é conhecido por produzir literatura infanto-juvenil, estreando com a coletânea poética “Em Mãos”, em 1976.	Natural de Itaqui, Dilan Camargo é conhecido pela literatura infanto-juvenil que produz.	3.75	Entailment
684	Orgulho-me muito de ter um treinador que pense dessa maneira.	É o que ele pensa de futebol por ter trabalhado na Europa.	1.75	None
685	O esquema foi descoberto durante as investigações da Operação Lava Jato.	É a primeira condenação de um político por envolvimento na Operação Lava Jato.	2.75	None
686	Mais de 47% dos servidores não receberam o salário integral do mês de julho.	Com esse teto, 52,8% dos funcionários receberam salário integral.	2.25	None
687	Sete pessoas foram resgatadas e duas chegaram à costa com auxílio de coletes salva-vidas.	As outras duas pessoas conseguiram chegar à costa porque usavam coletes salva-vidas.	4.0	Entailment
688	De acordo com a denúncia, teriam sido pagos R$ 1,1 milhão de propina entre 2010 e 2014.	Em troca, o ex-deputado recebeu mais de R$ 1 milhão em propina.	3.0	None
689	Para o próximo ano, a previsão ficou em déficit de US$ 76,35 bilhões.	E a expectativa para 2016 ficou em US$ 65 bilhões.	2.5	None
690	Desta vez, Galhardo deu boa assistência para Yuri Mamute, que arrancou pela direita e cruzou para Giuliano.	Yuri Mamute avançou pela direita até a linha de fundo e cruzou.	4.0	Entailment
691	A homenagem da Marrom chegou ao líder do Guns e Axl não perdeu tempo em agradecer à brasileira pela lembrança.	O líder do Guns viu a foto e gostou da brincadeira da Marrom.	3.5	None
692	A Unimed Paulistana informou que não foi oficialmente intimada sobre essa decisão.	O Delboni Auriemo também deixou de receber clientes da Unimed Paulistana.	1.75	None
693	Em Paris, o índice CAC-40 perdia 2,36%, a 4.543 pontos.	O índice de tecnologia Nasdaq recuava 1,33%, a 4.713 pontos.	2.5	None
694	Conseguimos reverter os momentos de abatimento que vinham acontecendo após os gols sofridos.	O time vinha se abatendo quando tomava um gol, e conseguimos reverter isso.	5.0	Paraphrase
695	Na próxima rodada, o Coritiba enfrente o Joinville, quarta-feira, na Arena Joinville, em Santa Catarina.	O Coritiba vai visitar o Joinville na Arena Joinville.	4.0	Entailment
696	Mas a Tesla -- que promove seu Model S com o slogan Emissão zero.	A Tesla investiu pesado na parte de segurança do modelo X.	2.5	None
697	A Câmara deve apreciar nos próximos dias uma proposta de redução da maioridade penal de 18 para 16 anos.	Alckmin vê a proposta como uma alternativa à simples redução da maioridade penal.	2.25	None
698	A obrigatoriedade foi decidida em reunião do Conselho Nacional de Trânsito (Contran) nesta quarta (17).	A obrigatoriedade foi decidida em reunião do Contran realizada na última quarta-feira, 17.	5.0	Paraphrase
699	Ou seja, o Brasil tem menos cidades com alta vulnerabilidade e mais cidades com baixa vulnerabilidade.	Minas Gerais apresenta baixa vulnerabilidade social.	2.0	None
700	Em outras duas oportunidades, Malhação foi indicada, mas não na categoria Kids do Emmy.	Essa é a terceira indicação consecutiva da novela ao Emmy, sendo a primeira na categoria Kids.	3.5	None
701	A missão de nome AIDA (Avaliação de Impacto e Desvio de Asteroide) vai ser dividida em duas partes.	Nasa e ESA detalham missão para tentar desviar rota de asteroide.	2.5	None
702	"""O empresário calou-se, respondendo com seu silêncio"", disse Delgado."	Delgado teve um encontro, em julho de 2014, em São Paulo, com o empresário.	2.25	None
703	"Ele disse que o efeito prático da visita dos governadores é ""nenhum""."	Pezão disse acreditar que há apoio mesmo entre os governadores de oposição.	2.25	None
704	A população poderá consultar a pressão arterial e fazer teste de glicemia das 10h às 22h.	A população poderá realizar consulta com profissionais, teste de glicemia e pressão arterial.	4.0	None
705	Nossa divisão de assuntos consulares continua a experimentar problemas com o sistema de visto.	Nosso Escritório de Assuntos Consulares continua tendo problemas com o sistema de vistos.	5.0	Paraphrase
706	A moeda norte-americana subiu 1,68%, a R$ 3,688.	A moeda norte-americana acumulou alta de 5,91% no mês passado.	3.0	None
707	Laura é a terceira personagem inédita dos quatro que vão fazer sua estreia em Street Fighter V.	Clássico personagem da série, Zangief está de volta Street Fighter V.	3.0	None
708	Apenas no segundo hospital os médicos suspeitaram da síndrome do choque tóxico.	Foi quando, finalmente, os médicos começaram a suspeitar de síndrome do choque tóxico.	3.75	Entailment
709	Marilene alegou que as fotos não tinham finalidade sexual.	Marilene disse também que não sabe como as fotos vazaram.	2.25	None
710	Na frente do placar, o Sport passou a aguardar no campo defensivo para responder em velocidade.	O jogo ficou preso nos primeiros 25% do campo defensivo do Sport.	3.25	None
711	Corrigimos o nosso time para o segundo tempo e buscamos vencer o jogo.	Com o empate, o time chegou ao sexto jogo sem vencer.	2.0	None
712	Esse foi o grande mérito do Sport na partida contra o Vasco, de acordo com Eduardo Baptista.	O Vasco venceu 9 partidas, contra apenas 5 do Sport.	2.75	None
713	O presidente da Câmara disse que, mesmo que tenha apoio, a tramitação da CPMF será longa.	O presidente da Câmara, Eduardo Cunha, reafirmou que pessoalmente é contra a recriação da CPMF.	2.5	None
714	Na lateral esquerda, Egídio pode ser substituído por Rafael Marques.	Na lateral esquerda, Egídio corre risco de perder a posição.	4.0	Entailment
715	Segundo o ministério, parte dos investimentos só foi definida recentemente.	Segundo o ministério, as obras estão com 42% executadas.	1.5	None
716	Haverá sobras das frequências de 1,8 GHz, 2,5 GHz e 3,5 GHz.	Será vendida a faixa de 1,8 GHz na região metropolitana de São Paulo.	2.0	None
717	Agora, a Cona prevê queda de 4,1% na produção de trigo para 6,755 milhões de toneladas.	A produção de trigo deve somar 7,328 milhões de toneladas esse ano.	2.5	None
718	Foi a primeira vez que o Supremo mudou a condução das investigações da Lava Jato.	Uma decisão do Supremo Tribunal Federal fatiou uma investigação da Lava Jato.	3.0	None
719	Já as obras de esgoto no Bairro Jardim Cidade Universitária estão atrasadas.	Na capital cearense, oito obras de esgoto estão atrasadas.	2.5	None
720	A galera já estava com saudades das novidades de Beyoncé e Lady Gaga.	Ninguém aguentava mais Lady Gaga cantando jazz.	1.25	None
721	O segundo tempo começou com o Santos mantendo a pressão e continuando a buscar o campo de ataque.	O Santos tinha mais posse de bola e jogava no campo de ataque.	3.75	Entailment
722	O movimento popular internacionalmente conhecido por Outubro Rosa é comemorado em todo o mundo.	O movimento Outubro Rosa também foi comemorado com serviços gratuitos em Queimados.	2.75	None
723	Os bancários de todo país entram em greve a partir desta terça-feira (6) por tempo indeterminado.	Bancários de Santa Catarina entraram em greve por tempo indeterminado nesta terça-feira (6).	4.0	Entailment
724	Bicudo deverá protocolar um novo pedido de impeachment na Câmara dos Deputados ainda nesta quinta-feira.	Cunha não seguiu o próprio protocolo ao aceitar o pedido de impeachment de Reale Júnior e Bicudo.	2.75	None
725	Elas também denunciam o desaparecimento de dezenas de gatos nas últimas semanas na represa.	O desaparecimento de gatos na represa foi denunciado.	4.0	Entailment
726	Após brilhar no início com a camisa do Flamengo, o peruano Paolo Guerrero experimenta as primeiras cobranças da torcida.	Paolo Guerrero chegou ao Flamengo há três meses.	2.5	None
727	A vacina contra dengue demonstrou 66% de eficácia contra os casos da doença por qualquer sorotipo.	A chegada da vacina contra dengue no Brasil está prevista para 2016.	2.25	None
728	Ele foi filiado ao PT de 1980 a 2005 e está sem partido desde então.	Em 2005, ele se desfiliou do PT, durante o escândalo do mensalão.	3.75	None
729	Em fevereiro de 2010, por exemplo, o Chile foi atingido por um terremoto de 8,8.	Um forte terremoto de 8,4 graus na escala Richter atingiu a região central do Chile nesta quarta-feira.	2.75	None
730	Jogo será realizado às 16:30 na Vila Belmiro.	A partida será realizada na Vila Belmiro, na cidade de Santos.	4.0	Entailment
731	Dilma também abordou, em meio ao discurso, o tema da corrupção.	Dilma também dedicou parte do discurso à defesa da democracia no Brasil.	3.25	None
732	O vice-presidente Michel Temer chegou a sugerir que ela adiasse a reforma ministerial.	Mais cedo, Dilma se reuniu com ministros e com o vice-presidente Michel Temer.	1.75	None
733	O incidente causou uma profunda repulsa entre as autoridades e a imprensa iraniana com a gestão saudita da peregrinação.	O Irã já havia responsabilizado as autoridades sauditas pela tragédia ocorrida durante a peregrinação.	3.0	None
734	As cotas são para estudantes que cursaram integralmente o ensino médio em escolas públicas.	Concluintes do ensino médio em escolas públicas e pessoas que declararam carência são isentos.	2.25	None
735	O Cruzeiro anunciou nesta terça-feira (1º) a contratação do técnico Mano Menezes, 53.	Cruzeiro anunciou a contratação de Mano Menezes como novo técnico do clube mineiro.	4.25	Entailment
736	O ministério foi oferecido ao PMDB, mas o partido não quis.	Eles se dizem contrários à decisão do partido de assumir ministérios.	2.75	None
737	Em maio, a balança comercial teve superávit de US$ 2,76 bilhões.	No acumulado ano, a balança está positiva em US$ 7,297 bilhões.	3.0	None
738	Ainda no segmento juvenil, a OMS diz que mais homens cometem suicídio que mulheres.	De acordo com a OMS, 800 mil pessoas cometem suicídio todos os anos.	2.25	None
739	Oswaldo de Oliveira teve um início animador no comando do Flamengo, onde faz um mês nesse domingo.	Oswaldo de Oliveira completou neste domingo um mês de Flamengo.	4.0	Entailment
740	Uma pessoa ficou ferida em terra, de acordo com o Corpo de Bombeiros.	A pessoa ferida seria uma moradora da casa atingida, segundo os bombeiros.	3.0	None
741	E o governo ganhou um problema a menos com sua base aliada.	O PMDB sai das mudanças como o principal partido da base aliada.	2.25	None
742	Pênalti defendido, três gols somente no primeiro tempo, entre os quais um contra.	Ele participou dos três primeiros gols da partida com cruzamentos precisos.	2.75	None
743	No Vaticano, bispos do mundo todo participaram da primeira reunião do sínodo sobre a família.	Ele também planejava participar da primeiro reunião internacional de homossexuais católicos, organizada na véspera do Sínodo da Família.	1.5	None
744	O título acabou nas mãos do Fla, que bateu o Vasco na decisão.	O Palmeiras tem dois títulos e uma derrota em decisão.	1.75	None
745	8ª Rodada do Brasileirão 2015 começa nesta quinta-feira com o jogo entre Figueirense e Internacional.	Com isso, o Internacional chega a 10 pontos e o Figueirense a 9.	2.75	None
746	O câmbio pode ser manual de cinco ou seis velocidades, de acordo com a versão escolhida.	O câmbio é o manual de cinco marchas ou o automatizado Dualogic Plus.	3.25	None
747	A primeira oportunidade foi do Bayern de Munique, aos 17 minutos.	O segundo tempo mostrou que o Bayern de Munique é o Bayern de Munique.	3.0	None
748	No mesmo período de 2014, o resultado comercial apresentou um superávit de US$ 250 milhões.	A balança comercial registrou superávit de US$ 2,689 bilhões em agosto.	3.25	None
749	Estreia nesta quarta-feira, na Record, o reality show Batalha dos Confeiteiros .	Batalha dos Confeiteiros será exibido toda terça-feira pela Rede Record.	3.25	None
750	O momento religioso ocorreu do lado de fora da igreja.	Fiéis fizeram fila do lado de fora da igreja.	2.5	None
751	"O filme ""Boi Neon"", de Gabriel Mascaro, foi o grande vencedor da edição 2015 do festival."	Dirigido por Gabriel Mascaro, “Boi Neon” foi premiado.	3.5	Entailment
752	A Medida Provisória publicada nesta segunda (13) pelo governo federal autoriza o uso de mais 5%.	A medida provisória foi publicada no Diário Oficial desta segunda-feira (13).	3.25	Entailment
753	As selfies, agora, são muito mais amplas com o novo flagship da LG.	O novo modelo V10 não é muito diferente do LG G4.	2.0	None
754	Me preocupo neste momento para que o processo de paz na Colômbia não pare.	Desejo e devemos rezar pela Colômbia, para que este processo não pare.	3.75	None
755	As duas câmeras frontais também podem ser usadas para gravar vídeos no modo multi-view.	Próximo a essa segunda tela estão localizadas não uma, mas duas câmeras frontais.	2.75	None
756	Bruna vai ser Beatriz, uma dançarina de um bordel na nova minissérie da Globo.	A nova personagem de Bruna será Beatriz, uma dançarina de boate.	4.0	Entailment
757	A tela menor fica na parte superior do aparelho e mede 2,1 polegadas.	A segunda tela está posicionada acima da principal, que tem 5,7 polegadas e 2560 x 1440 de resolução.	2.75	None
758	As romarias oficiais do Círio são realizadas há 223 anos.	A primeira das 12 romarias oficiais do Círio aconteceu nesta sexta-feira.	2.25	None
759	Pouco tempo após a publicação, Bruna Marquezine recebeu uma chuva de elogios dos seguidores.	Marquezine ficou sabendo do perfil de sua personagem há pouco tempo.	1.75	None
760	Os pilotos da Stock Car voltam a acelerar amanhã.	Carros antigos mostraram charme diante das máquinas da Stock Car.	1.75	None
761	Em troca, as restantes potências comprometem-se a reduzir as sanções económicas ao país.	Em troca, as sanções contra o Irão serão levantadas de forma faseada.	3.25	None
762	"Para Esfandiary, Israel e Arábia Saudita estão, acima de tudo, ""fazendo barulho""."	Assim como Israel, a Arábia Saudita também não gostou do acordo.	2.0	None
763	Termina hoje o período de avaliação gratuita do Apple Music.	E já que meu período de Apple Music acaba hoje, o jeito vai ser voltar pro Spotify.	2.75	None
764	O Cruzeiro empatou nesta quarta-feira (16) com o Vasco no Mineirão por 2 a 2.	Vasco e Cruzeiro se enfrentam na próxima quarta, às 19h30 (de Brasília), no Mineirão.	2.5	None
765	Outra revelação é de que a primeira cena de sexo protagonizada pela jovem atriz será com Daniel de Oliveira.	A atriz deverá dividir as cenas de sexo com o ator Daniel de Oliveira.	3.75	Entailment
766	Eu coordenava, na realidade, a equipe de geologia.	Meu tema era ciência atmosférica do sistema solar.	1.75	None
767	Além da Copa do Brasil sub-20, os jovens do Luverdense também estão em meio à disputa da Copa FMF sub-21.	O Luverdense segue fazendo história na Copa do Brasil sub-20.	3.25	None
768	A fosfoetanolamina não é, atualmente, uma opção de tratamento contra o câncer.	Isso vale para um antibiótico e para um remédio contra o câncer.	2.25	None
769	Estuda-se a redução das pastas das atuais 39 para algo entre 24 e 29.	Internamente, há mais clima para reforma do que para redução de ministérios.	3.0	None
770	O último episódio da quinta temporada de Game of Thrones foi visto por 8,1 milhões de pessoas.	A esperadíssima sexta temporada de ‘Game of Thrones’ estreia março e junho de 2016.	2.0	None
771	Nesta quarta-feira, o LEC venceu por 2 x 1, após o empate no Passo das Emas há uma semana.	Para o LEC interessam a vitória ou empate por mais de 3 gols.	2.25	None
772	Malcom bateu rasteiro, no canto esquerdo de Victor, e marcou, aos 41.	Malcom pegou de primeira e acertou o canto esquerdo de Victor.	3.5	None
773	Se o seu interesse por Game of Thrones é o elenco, dá para ir matando a saudade.	Não há ninguém trabalhando em um filme sobre Game of Thrones.	2.25	None
774	Escalada de violência na região já matou mais de 40 palestinos e sete israelenses nas últimas semanas.	Nas últimas semanas, sete israelenses e 40 palestinos morreram.	4.0	Entailment
775	Martin desmentiu qualquer possibilidade da sua série, “Game of Thrones“, se tornar filme.	Martin informou que a série épica da HBO, Game of Thrones, também incluirá um filme.	3.25	None
776	O apresentador Rodrigo Faro foi a segunda atração do programa.	Ela aparece ao lado de Sérgio, do namorado Junno Andrade e do apresentador Rodrigo Faro.	1.75	None
777	Giovanni Augusto quase empatou aos 23, quando acertou a trave em cobrança de falta.	Giovanni Augusto, inclusive, acertou uma bola na trave após cobrança de falta.	4.0	Entailment
778	O casal de ex-BBBs Aline Gotschalg e Fernando Medeiros estão oficialmente casados.	Fernando Medeiros e Aline Gotschalg agora são marido e mulher.	4.25	Entailment
779	Às 11h, haverá apresentação da Escola de Dança do Theatro Municipal.	O encerramento será às 20h, com a Orquestra Sinfônica do Theatro Municipal.	2.5	None
780	Houve 101 votos contrários e 53 abstenções.	Cento e um deputados votaram não e houve o expressivo número de 53 abstenções.	4.75	Paraphrase
781	O quinto ano de Game of Thrones chegou a registrar 8,1 milhões de espectadores.	A 6ª temporada de Game of Thrones estreia em 2016.	2.5	None
782	Começou à 0h deste domingo o horário de verão, quando os relógios devem ser adiantados em uma hora.	Começou neste domingo às 0h o horário de verão.	4.0	Entailment
783	A procissão principal chegou ao fim, mas outras seis romarias acontecem no próximo fim de semana.	O traslado é a primeira das seis romarias deste fim de semana.	3.5	None
784	Em São Paulo, o preço do litro da gasolina aumentou cerca de R$ 0,17.	O preço médio do litro da gasolina comum comercializado em Belém era de R$ 3,390.	2.0	None
785	O prefeito do Rio, Eduardo Paes, defendeu a criação do aplicativo.	A informação foi dada pelo prefeito Eduardo Paes em visita às obras nesta terça feira.	1.75	None
786	A Sociedade Brasileira de Oncologia Clínica pretende apelar ao Supremo Tribunal Federal (STF) para barrar a distribuição.	A Sociedade Brasileira de Oncologia Clínica está se movimentando para tentar sensibilizar o Supremo Tribunal Federal (STF).	3.75	None
787	Veja os dois depoimentos e conheça mais de perto a ponte Anita Garibaldi.	O principal compromisso será a inauguração da ponte Anita Garibaldi, em Laguna.	2.5	None
788	PF apreende Ferrari, Porsche e Lamborghini na casa de Collor em Brasília.	Entre os materiais apreendidos, estão três veículos de luxo: Lamborghini, Ferrari e Porsche.	3.75	Entailment
789	Com a decisão do TJ, a USP tem que alertar as pessoas que substância não é um medicamento.	A USP tem que divulgar um comunicado afirmando que a substância não é um remédio.	3.75	Entailment
790	O Campeonato Mundial de League of Legends começa hoje e terá sua abertura em Paris, às 11h.	O Mundial de League of Legends começa hoje em Paris.	4.0	Entailment
791	A reitoria diz que as decições judiciais serão cumpridas, mas vai brigar para revertê-las.	Os mandados judiciais serão cumpridos.	3.25	Entailment
792	Sem Luis Fabiano, que está suspenso, Osorio deve escolher entre Rogério, Centurión ou Wilder para a vaga.	O ataque deverá ser formado por Alexandre Pato, Wilder e Rogério.	2.75	None
793	O Campeonato Mundial de League of Legends de 2015 irá premiar a equipe campeã com US$ 1.000.000.	A Riot Games inicia nesta quinta-feira, 1, o Campeonato Mundial de League of Legends de 2015.	2.25	None
794	"Na avaliação de Collor, a operação desta terça da PF foi ""espetaculosa"" e ""midiática""."	"Senador Fernando Collor avaliou a operação como ""espetaculosa, midiática""."	4.25	Entailment
795	O Santos é o oitavo colocado, com 37 pontos.	Atualmente, a equipe santista ocupa o oitavo lugar, com 37 pontos.	4.75	Paraphrase
796	Meryl Streep é uma das artistas de cinema mais criativas e multifacetadas.	Meryl Streep já levou alguns prêmios do festival alemão para casa.	2.25	None
797	No confronto, dois criminosos morreram e um terceiro foi ferido.	O confronto terminou com dois dos suspeitos mortos e um ferido.	4.75	Paraphrase
798	Ex-diretor da Petrobras está preso sob suspeita de recebimento de propina.	No depoimento, Hamylton Padilha deu detalhes do pagamento de propina ao ex-diretor.	3.0	None
799	Quatro edições antes, estava em US$ 3 bilhões.	Quatro semanas atrás, a projeção era de déficit de US$ 84 bilhões.	1.5	None
800	Segundo especulações, o encontro teve o objetivo de tratar da Operação Lava Jato.	O peemedebista tem negado as declarações dos delatores da “Operação Lava Jato”.	2.75	None
801	A presidente Dilma Rousseff anunciou agora o nome de novos ministros.	Agora, o projeto segue para sanção do governo federal.	1.75	None
802	Com a derrota, o Atlético-PR caiu para a sétima colocação, com 38 pontos.	Já o Atlético-PR fica com 38 pontos e cai para a sétima colocação na tabela.	4.25	Entailment
803	Porém, não é a primeira fez que uma parceria de anos termina.	A parceria entre as duas durou 18 anos, mas terminou em 2002 de forma pouco amigável.	2.75	None
804	Moradores informaram que por volta das 6h era possível escutar barulhos de fogos de artifício.	Até as 7h não havia informações sobre prisões e apreensões.	1.5	None
805	A locomoção a pé ou em transporte público é a mais frequente, incluindo 46% das pessoas.	O número de brasileiros insatisfeitos com o transporte público cresceu no ano passado.	2.25	None
806	Neste ano, Leandro fez apenas três partidas, uma pelo Brasileirão.	Em 2015, Leandro fez apenas quatro jogos.	3.0	None
807	Apenas vans, carros pretos oficiais, caminhão e ônibus.	Teriam sido 25 carros, entre eles um caminhão, vans e diversas limousines.	2.25	None
808	Com as duas equipes marcando forte, Barcelona e Bayern de Munique tiveram dificuldades para impor o seu jogo.	Na próxima terça-feira, o Bayern de Munique recebe o Barça na Allianz Arena.	3.25	None
809	Peru vem na sequência, depois Venezuela e a Colômbia ficou na lanterna.	Colômbia e Venezuela, com uma bola na rede apenas, estão na lanterna.	4.0	None
810	O relator do processo é o ministro Augusto Nardes.	Os demais ministros vão avaliar se seguem ou não a proposta de Nardes.	1.5	None
811	No mesmo dia, mas às 11h, o Santos recebe o Joinville.	Pelo Brasileiro, o time recebe o Joinville, às 11 horas de domingo.	4.0	None
812	Nos últimos 78 anos, o TCU sempre aprovou as contas federais.	"As contas de 2014 contam com 15 ""distorções"" encontradas pela área técnica do TCU."	2.5	None
813	Mais de 530 voos foram cancelados e 190 trens de alta velocidade foram suspensos.	Todos os 279 voos domésticos e 37 voos internacionais foram cancelados.	2.25	None
814	Fanny descobre que Anthony se encontra com Maurice em seu hotel.	Giovanna confronta Anthony sobre sua relação com Maurice.	2.5	None
815	Na jogada seguinte, Pedro Rocha recebeu cara a cara e soltou bomba para espalmada de Luiz.	Luan superou a marcação do Tigre e deixou Pedro Rocha na cara do gol.	2.75	None
816	A administração Obama foi muito criticada por seus planos de retirar as forças americanas do Afeganistão.	As forças da Otan estão no Afeganistão desde 2001.	2.25	None
817	O preço do litro da gasolina nos postos de combustíveis de Rondônia deve aumentar cerca de R$ 0,20.	Quatro postos aproveitaram para aumentar também o preço do etanol, entre R$ 0,02 e R$ 0,09.	2.5	None
818	A autoria ainda é desconhecida, mas a polícia suspeita que tenha relação com o tiroteio.	A Brigada Militar suspeita que o incêndio tenha relação com o tiroteio.	4.0	None
819	A categoria entrou em greve por tempo indeterminado no dia 13 de julho.	A greve é por tempo indeterminado.	4.0	Entailment
820	Em breve você poderá utilizar um vídeo curto de até 7 segundos na imagem do seu perfil do Facebook.	Você pode em breve ter uma foto de perfil animada no Facebook.	3.75	Entailment
821	Não podemos colocar uma carga maior do que já tem.	Os comandados do técnico Sérgio Soares não vencem há quatro rodadas.	1.0	None
822	No encontro de presidentes dos países integrantes, a presidente Dilma Rousseff falou sobre democracia.	Depois, no discurso, Dilma Rousseff defendeu a democracia nos países da região.	4.0	None
823	Também não se sabe se o ataque está relacionado ao incidente no consulado dos EUA.	O incidente desta segunda no consulado americano não teve outros feridos.	2.75	None
824	Relatou ao médico Paulo Rabaldo formigamento em um dos braços e perda momentânea da visão em um dos olhos.	O jogador relatou perda parcial da visão e formigamento no braço.	4.0	Entailment
825	No total, foram 134 emendas apresentadas à LDO para o ano que vem.	Ao total foram apresentadas 12 emendas à LDO, sendo nove rejeitadas.	3.0	None
826	O iG apurou que a Fiat não está brincando ao dizer que a Toro será luxuosa.	A Fiat liberou mais uma peça do ‘quebra-cabeças’ Toro.	2.25	None
827	Na América Latina, o Brasil é o país com maior número de universidades.	Apesar da queda, a universidade segue como a melhor da América Latina.	2.5	None
828	A vitória deixou o Manchester United empatado na segunda colocação com o Arsenal, ambos com 10 pontos.	Quando já começava a ficar ameaçado, o Manchester United chegou ao segundo gol.	2.0	None
829	No campo relativo às despesas, a LDO prevê para 2016 gastos de R$ 808 milhões com pessoal.	A LDO prevê ainda um superávit primário de R$ 913 milhões em 2016.	2.5	None
830	A Universidade Harvard (EUA) caiu do segundo para o sexto lugar.	As tradicionais Universidades de Harvard e Princeton ficaram em 6º e 7º lugar, respectivamente.	3.75	None
831	Segundo a Netflix, apenas 880 mil assinaram o pacote, enquanto que a meta era de 1,15 milhões previstos.	A Netflix informou o acréscimo de 3,6 milhões de assinantes nos últimos três meses.	2.75	None
832	Amanhã chega o combustível já com o valor reajustado.	Quem comprou combustível hoje já está fazendo reajustes.	2.0	None
833	O senador Renan Calheiros nunca participou de nenhuma reunião com empreiteiros.	O senador Renan Calheiros era um dos que dava sustentação política.	2.25	None
834	Os primeiros a experimentá-las são donos de iPhones do Reino Unido e do estado da Califórnia (EUA).	Similar às chamadas Live Photos dos novos iPhones, recurso chega primeiro aos usuários dos EUA e Reino Unido.	3.75	None
835	Já o CAPS II Leste, considerado o melhor dentre os Centros, atende mais de 80 pacientes por dia.	O CAPS II Sul atende 721 usuários e cerca de 60 pacientes diariamente.	3.0	None
836	Eles contaram que estavam na avenida quando foram surpreendidos por pessoas armadas.	Testemunhas contaram que duas pessoas chegaram ao local e atiraram contra os dois.	2.75	None
837	Funcionários dos Correios do Maranhão decidiram aderir à greve nacional da categoria nesta quarta-feira (16).	Os funcionários dos Correios de Mato Grosso aderiram à paralisação nacional da categoria nesta quarta-feira (16).	3.25	None
838	O apoio do goleiro no pleito será para Leco.	Há outro problema para ser administrado por Leco.	1.75	None
839	No mundo, o número de novas infecções por HIV diminuiu 35,5% entre 2000 e 2014.	No entanto, as novas infecções caíram 13% entre 2000 e 2014.	2.5	None
840	Aos 14 anos Caio César, passou a dublar no Brasil o personagem Harry Potter, estrelado pelo ator Daniel Radcliffe.	Caio César emprestou sua voz a Daniel Radcliffe.	3.75	Entailment
841	O governo não aprova CPMF, quem faz isso é o Congresso, que discutirá esse processo.	A CPMF é a maior, mas não a única crise que o governo deve enfrentar no Congresso.	3.0	None
